Brand,Brand_Code,File_Name,GL,ACC Name,Period,Amount,ACT_FC
CL,3040,3040_Columbia Performance2023.xlsx,,TOTAL:SALES,JAN,16260.2425,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,DISCOUNT,JAN,-5222.22177,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,NET SALES,JAN,11038.02073,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-4353.00029,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,GROSS PROFIT,JAN,6685.02044,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,TOTAL OPEX,JAN,-3484.97829,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,EBITDA,JAN,3200.04215,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,TOTAL NOPEX,JAN,-21.709,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,TOTAL EXPENSE,JAN,-3506.68729,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-3106.68729,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-400,Actual
CL,3040,3040_Columbia Performance2023.xlsx,Other Income,OTHER INCOME,JAN,2.81347,Actual
CL,3040,3040_Columbia Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,3181.14662,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,TOTAL:SALES,JAN,262.99055,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,DISCOUNT,JAN,-160.0918,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,NET SALES,JAN,102.89875,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-134.42175,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,GROSS PROFIT,JAN,-31.523,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,TOTAL OPEX,JAN,-252.16539,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,EBITDA,JAN,-283.68839,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,TOTAL NOPEX,JAN,-4.162,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,TOTAL EXPENSE,JAN,-256.32739,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-256.32739,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
HZ,3050,3050_HZ Performance2023.xlsx,Other Income,OTHER INCOME,JAN,8.70263,Actual
HZ,3050,3050_HZ Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-279.14776,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,NET SALES,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-24.803,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,GROSS PROFIT,JAN,-24.803,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,TOTAL OPEX,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,EBITDA,JAN,-24.803,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,TOTAL EXPENSE,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,รวมคชจกองหน้า,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
FF,3060,3060_Fitflop Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-24.803,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,TOTAL:SALES,JAN,289.23369,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,DISCOUNT,JAN,-207.3692,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,NET SALES,JAN,81.86449,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-74.82249,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,GROSS PROFIT,JAN,7.042,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,TOTAL OPEX,JAN,-26.55072,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,EBITDA,JAN,-19.50872,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,TOTAL NOPEX,JAN,-0.124,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,TOTAL EXPENSE,JAN,-26.67472,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-26.67472,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,Other Income,OTHER INCOME,JAN,1.82617,Actual
HB,3090,3090_Healthybag Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-17.80655,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL:SALES,JAN,3300.36403,Actual
NT,3110,3110_Native Performance2023.xlsx,,DISCOUNT,JAN,-1007.73851,Actual
NT,3110,3110_Native Performance2023.xlsx,,NET SALES,JAN,2292.62552,Actual
NT,3110,3110_Native Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-889.49931,Actual
NT,3110,3110_Native Performance2023.xlsx,,GROSS PROFIT,JAN,1403.12621,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL OPEX,JAN,-1367.13284,Actual
NT,3110,3110_Native Performance2023.xlsx,,EBITDA,JAN,35.99337,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL NOPEX,JAN,-5.855,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL EXPENSE,JAN,-1372.98784,Actual
NT,3110,3110_Native Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-1032.98784,Actual
NT,3110,3110_Native Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-340,Actual
NT,3110,3110_Native Performance2023.xlsx,Other Income,OTHER INCOME,JAN,8.78598,Actual
NT,3110,3110_Native Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,38.92435,Actual
MT,3170,3170_MHW Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,NET SALES,JAN,0,Actual
